id,Etapa,Sensor,Temperatura,hora,minuto,segundo,fecha_de_llegada
96,8,21,14.5,10,15,35,2025-08-08 10:18:37
97,9,10,14.6,10,15,50,2025-08-08 10:18:37
98,9,11,15.1,10,15,50,2025-08-08 10:18:37
99,9,12,14.6,10,15,50,2025-08-08 10:18:37
100,9,13,14.9,10,15,50,2025-08-08 10:18:37
101,9,14,15.1,10,15,50,2025-08-08 10:18:37
102,9,15,15.4,10,15,50,2025-08-08 10:18:37
103,9,16,14.9,10,15,50,2025-08-08 10:18:37
104,9,17,14.9,10,15,50,2025-08-08 10:18:37
105,9,18,14.9,10,15,50,2025-08-08 10:18:37
106,9,19,15.3,10,15,50,2025-08-08 10:18:37
107,9,20,14.3,10,15,50,2025-08-08 10:18:37
108,9,21,14.6,10,15,50,2025-08-08 10:18:37
109,10,10,14.6,10,16,5,2025-08-08 10:18:37
110,10,11,15.1,10,16,5,2025-08-08 10:18:37
111,10,12,14.5,10,16,5,2025-08-08 10:18:37
112,10,13,14.9,10,16,5,2025-08-08 10:18:37
113,10,14,15.1,10,16,5,2025-08-08 10:18:37
114,10,15,15.4,10,16,5,2025-08-08 10:18:37
115,10,16,14.9,10,16,5,2025-08-08 10:18:37
116,10,17,14.9,10,16,5,2025-08-08 10:18:37
117,10,18,14.9,10,16,5,2025-08-08 10:18:37
118,10,19,15.3,10,16,5,2025-08-08 10:18:37
119,10,20,14.3,10,16,5,2025-08-08 10:18:37
120,10,21,14.6,10,16,5,2025-08-08 10:18:37
121,11,10,14.7,10,16,20,2025-08-08 10:18:37
122,11,11,15.1,10,16,20,2025-08-08 10:18:37
123,11,12,14.6,10,16,20,2025-08-08 10:18:37
124,11,13,14.9,10,16,20,2025-08-08 10:18:37
125,11,14,15.1,10,16,20,2025-08-08 10:18:37
126,11,15,15.4,10,16,20,2025-08-08 10:18:37
127,11,16,14.9,10,16,20,2025-08-08 10:18:37
128,11,17,14.9,10,16,20,2025-08-08 10:18:37
129,11,18,14.9,10,16,20,2025-08-08 10:18:37
130,11,19,15.3,10,16,20,2025-08-08 10:18:37
131,11,20,14.3,10,16,20,2025-08-08 10:18:37
132,11,21,14.6,10,16,20,2025-08-08 10:18:37
